Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000164095	   0.0000696169	  -0.3185767125
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0618911934	  -0.0128936185	 -14.6551133654
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000462755	   0.0000790630	  -0.3175007312
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0314120109	  -0.0160150292	 -14.7495703606
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000056284	   0.0000868486	  -0.3169094672
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0256123248	  -0.0133015559	 -14.4909790696
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0001313960	   0.0000980030	  -0.3157523048
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0141467770	  -0.0100711725	 -14.3051731117
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0004021336	   0.0001265476	  -0.3135962488
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0320976678	  -0.0070960395	 -13.8825235647
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0005765867	   0.0001346416	  -0.3128099380
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0175859414	   0.0021452996	 -13.6343311529
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0009056957	   0.0001504094	  -0.3124424808
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1094575883	  -0.0063466729	 -13.3172795948
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0012322913	   0.0001406548	  -0.3129760018
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0920260847	   0.0048371963	 -13.0250840392
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0021308263	   0.0001000112	  -0.3156349443
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1187168875	   0.0174727405	 -12.4779766016
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0035753283	   0.0000113510	  -0.3210687367
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1871474867	   0.0298562528	 -11.7922411859
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0049243469	  -0.0001045129	  -0.3274603239
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.2621673033	   0.0366309370	 -11.2851298351
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0060968876	  -0.0002500829	  -0.3344797237
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.3336255653	   0.0384900925	 -10.9697491157
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0071399321	  -0.0004284981	  -0.3419951927
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.3881873870	   0.0392887778	 -10.7946089741
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0080958541	  -0.0006488163	  -0.3503668434
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4161852578	   0.0417140744	 -10.7362152155
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0091775298	  -0.0009392544	  -0.3604759968
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4384844891	   0.0451562688	 -10.7147157399
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0097267326	  -0.0011745524	  -0.3669682926
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4426208699	   0.0458348249	 -10.7985589928
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0104491741	  -0.0013751508	  -0.3712259979
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4721288905	   0.0469565256	 -10.6429086231
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0102070869	  -0.0014913463	  -0.3703747736
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4585227337	   0.0425283823	 -10.7744319257
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0106090324	  -0.0016123356	  -0.3713049017
Ground state dipole moment (Debye):
